MSINI,A,ECC,K,STAR
mjupiter,au,,m/s,
,0.102591,,,Kepler-85
,0.0780663,,,Kepler-85
,1.12814,0,,Kepler-849
,0.0712451,0,,Kepler-848
,0.0324471,0,,Kepler-847
,0.140349,0,,Kepler-846
,0.0172109,0,,Kepler-845
,0.03114,0,,Kepler-844
,0.0318315,0,,Kepler-843
,0.0205641,0,,Kepler-842
,0.462033,0,,Kepler-841
,0.0364828,0,,Kepler-840
,0.245953,,,Kepler-84
,0.178021,,,Kepler-84
,0.107552,,,Kepler-84
,0.08295,,,Kepler-84
,0.0511438,,,Kepler-84
,0.235594,0,,Kepler-839
,0.122141,0,,Kepler-838
,0.120447,0,,Kepler-837
,0.0998849,0,,Kepler-836
,0.101821,0,,Kepler-835
,0.0976622,0,,Kepler-834
,0.119053,0,,Kepler-833
,0.0705758,0,,Kepler-832
,0.0616673,0,,Kepler-831
,0.10078,0,,Kepler-830
,0.125924,,,Kepler-83
,0.0778725,,,Kepler-83
,0.0585134,,,Kepler-83
,0.0703422,0,,Kepler-829
,0.0125101,0,,Kepler-828
,0.265894,0,,Kepler-827
,0.0541184,0,,Kepler-826
,0.0802514,0,,Kepler-825
,0.047906,0,,Kepler-825
,0.0560063,0,,Kepler-824
,0.050347,0,,Kepler-823
,0.0435391,0,,Kepler-822
,0.0285532,0,,Kepler-821
,0.532115,0,,Kepler-820
,0.256743,,,Kepler-82
,0.16455,,,Kepler-82
,0.063917,,,Kepler-82
,0.0349155,,,Kepler-82
,0.192248,0,,Kepler-819
,0.0891946,0,,Kepler-818
,0.0497212,0,,Kepler-817
,0.0906432,0,,Kepler-816
,0.0883216,0,,Kepler-815
,0.068804,0,,Kepler-814
,0.13761,0,,Kepler-813
,0.103618,0,,Kepler-812
,0.161485,0,,Kepler-811
,0.0546451,0,,Kepler-810
,0.148198,,,Kepler-81
,0.0885967,,,Kepler-81
,0.0554099,,,Kepler-81
,0.284276,0,,Kepler-809
,0.0131437,0,,Kepler-808
,0.476837,0,,Kepler-807
,0.0786193,0,,Kepler-806
,0.204059,0,,Kepler-805
,0.116085,0,,Kepler-804
,0.0890131,0,,Kepler-804
,0.271,0,,Kepler-803
,0.223648,0,,Kepler-802
,0.0868408,0,,Kepler-801
,0.108362,0,,Kepler-800
,0.0788018,,,Kepler-80
,0.0645109,,,Kepler-80
,0.0544864,,,Kepler-80
,0.0413591,,,Kepler-80
,0.017386,0,,Kepler-80
0.582607,0.0483278,0,68.4,Kepler-8
,0.502439,0,,Kepler-799
,0.118853,0,,Kepler-798
,0.174066,0,,Kepler-797
,0.0658558,0,,Kepler-796
,0.183527,0,,Kepler-795
,0.103391,0,,Kepler-794
,0.0509367,0,,Kepler-793
,0.10143,0,,Kepler-792
,0.127324,0,,Kepler-791
,0.105904,0,,Kepler-790
,0.366575,0.012,,Kepler-79
,0.272969,0.025,,Kepler-79
,0.183622,0.03,,Kepler-79
,0.114456,0.015,,Kepler-79
,0.0826682,0,,Kepler-789
,0.0849622,0,,Kepler-788
,0.0161327,0,,Kepler-787
,0.259117,0,,Kepler-786
,0.0282249,0,,Kepler-785
,0.195581,0,,Kepler-784
,0.0504566,0,,Kepler-783
,0.569779,0,,Kepler-782
,0.101967,0,,Kepler-781
,0.0151449,0,,Kepler-780
0.00593365,0.00914662,,1.96,Kepler-78
,0.0557932,0,,Kepler-779
,0.044079,0,,Kepler-778
,0.0522506,0,,Kepler-777
,0.0530392,0,,Kepler-776
,0.018714,0,,Kepler-775
,0.113114,0,,Kepler-774
,0.0478522,0,,Kepler-773
,0.107432,0,,Kepler-772
,0.0838281,0,,Kepler-771
,0.136148,0,,Kepler-770
,0.0495281,0,,Kepler-770
,0.0248451,0,,Kepler-770
0.430694,0.0450195,0,59.2,Kepler-77
,0.131614,0,,Kepler-769
,0.0789397,0,,Kepler-769
,0.0927369,0,,Kepler-768
,0.572614,0,,Kepler-767
,0.0674482,0,,Kepler-766
,0.181954,0,,Kepler-765
,0.071869,0,,Kepler-764
,0.0208123,0,,Kepler-763
,0.0483406,0,,Kepler-762
,0.0900599,0,,Kepler-761
,0.0796567,0,,Kepler-760
,0.03437,0,,Kepler-760
1.96,0.0271768,0,308,Kepler-76
,0.238842,0,,Kepler-759
,0.154009,0,,Kepler-758
,0.108438,0,,Kepler-758
,0.083574,0,,Kepler-758
,0.0581708,0,,Kepler-758
,0.0203817,0,,Kepler-757
,0.0209702,0,,Kepler-756
,0.036849,0,,Kepler-755
,0.021472,0,,Kepler-755
,0.11898,0,,Kepler-754
,0.0552213,0,,Kepler-753
,0.132223,0,,Kepler-752
,0.125668,0,,Kepler-751
,0.0915122,0,,Kepler-750
,0.0524304,0,,Kepler-750
9.98356,0.0807413,0.569,1288,Kepler-75
,0.121097,0,,Kepler-749
,0.076064,0,,Kepler-748
,0.198299,0,,Kepler-747
,0.0435651,0,,Kepler-746
,0.0916134,0,,Kepler-745
,0.100833,0,,Kepler-744
,0.0414509,0,,Kepler-743
,0.0735719,0,,Kepler-742
,0.0755268,0,,Kepler-741
,0.0444161,0,,Kepler-740
0.665099,0.0827067,0.287,58,Kepler-74
,0.103068,0,,Kepler-739
,0.157366,0,,Kepler-738
,0.146229,0,,Kepler-737
,0.043728,0,,Kepler-736
,0.0945351,0,,Kepler-735
,0.0619246,0,,Kepler-734
,0.143067,0,,Kepler-733
,0.0690513,0,,Kepler-732
,0.0143082,0,,Kepler-732
,0.0485975,0,,Kepler-731
,0.0681049,0,,Kepler-730
,0.0413386,0,,Kepler-729
,0.0617018,0,,Kepler-728
,0.0561729,0,,Kepler-727
,0.146374,0,,Kepler-726
,0.218045,0,,Kepler-725
,0.0420086,0,,Kepler-724
,0.0486188,0,,Kepler-723
,0.440295,0,,Kepler-722
,0.0505771,0,,Kepler-722
,0.0563265,0,,Kepler-721
,0.0540454,0,,Kepler-720
,0.0570893,0,,Kepler-719
,0.0333991,0,,Kepler-718
,0.0504222,0,,Kepler-717
,0.0874713,0,,Kepler-716
,0.0920746,0,,Kepler-715
,0.0812267,0,,Kepler-714
,0.0738933,0,,Kepler-713
,0.686927,0,,Kepler-712
,0.140655,0,,Kepler-712
,0.151882,0,,Kepler-711
,0.0510655,0,,Kepler-710
,0.115768,0,,Kepler-709
,0.0417873,0,,Kepler-708
,0.0310798,0,,Kepler-707
,0.223617,0,,Kepler-706
,0.231978,0,,Kepler-705
,0.0468593,0,,Kepler-704
,0.0570646,0,,Kepler-703
,0.0907551,0,,Kepler-702
,0.0890998,0,,Kepler-701
,0.363536,0,,Kepler-700
0.436942,0.0622369,0,42.9,Kepler-7
,0.167447,0,,Kepler-699
,0.123396,0,,Kepler-698
,0.0456151,0,,Kepler-697
,0.0518657,0,,Kepler-696
,0.0387537,0,,Kepler-695
,0.0665428,0,,Kepler-694
,0.110433,0,,Kepler-693
,0.147513,0,,Kepler-692
,0.0639541,0,,Kepler-691
,0.0793434,0,,Kepler-690
,0.709354,0.14,,Kepler-69
,0.104565,0.16,,Kepler-69
,0.150552,0,,Kepler-689
,0.0481308,0,,Kepler-688
,0.134386,0,,Kepler-687
,0.0261684,0,,Kepler-686
,0.0280141,0,,Kepler-685
,0.0673713,0,,Kepler-684
,0.035933,0,,Kepler-683
,0.103131,0,,Kepler-682
,0.161056,0,,Kepler-681
,0.0479468,0,,Kepler-680
0.80971,1.39638,0.18,19.06,Kepler-68
0.0187967,0.0617749,0,2.07,Kepler-68
0.00627171,0.0907017,0,0.57,Kepler-68
,0.100056,0,,Kepler-679
,0.071979,0,,Kepler-678
,0.0686885,0,,Kepler-677
,0.0801169,0,,Kepler-676
,0.0318646,0,,Kepler-675
,0.0282874,0,,Kepler-674
,0.0450964,0,,Kepler-673
,0.218893,0,,Kepler-672
,0.0510769,0,,Kepler-671
,0.0389008,0,,Kepler-670
,0.0527424,0,,Kepler-669
,0.07692,0,,Kepler-668
,0.227107,0,,Kepler-667
,0.0538618,0,,Kepler-666
,0.114939,0,,Kepler-665
,0.0364157,0,,Kepler-664
,0.0543959,0,,Kepler-663
,0.140653,0,,Kepler-662
,0.0575639,0,,Kepler-661
,0.078486,0,,Kepler-660
,0.122745,0,,Kepler-659
,0.0198513,0,,Kepler-658
,0.165833,0,,Kepler-657
,0.0217143,0,,Kepler-656
,0.264783,0,,Kepler-655
,0.113663,0,,Kepler-654
,0.118258,0,,Kepler-653
,0.0183692,0,,Kepler-653
,0.0502867,0,,Kepler-652
,0.146649,0,,Kepler-651
,0.0420644,0,,Kepler-650
,0.186659,0,,Kepler-649
,0.133676,0,,Kepler-648
,0.126673,0,,Kepler-647
,0.120657,0,,Kepler-646
,0.0449621,0,,Kepler-645
,0.0482761,0,,Kepler-644
,0.126015,0,,Kepler-643
,0.0589428,0,,Kepler-642
,0.0883024,0,,Kepler-641
,0.155326,0,,Kepler-640
,0.0962449,0,,Kepler-639
,0.0624727,0,,Kepler-638
,0.187767,0,,Kepler-637
,0.118109,0,,Kepler-636
,0.176326,0,,Kepler-635
,0.0590906,0,,Kepler-634
,0.0820733,0,,Kepler-633
,0.187138,0,,Kepler-632
,0.144301,0,,Kepler-631
,0.584174,0,,Kepler-630
,0.0869107,,,Kepler-63
,0.0714831,0,,Kepler-629
,0.121444,0,,Kepler-628
,0.252724,0,,Kepler-627
,0.116684,0,,Kepler-626
,0.0776648,0,,Kepler-625
,0.0513318,0,,Kepler-625
,0.120607,0,,Kepler-624
,0.0821845,0,,Kepler-623
,0.0992806,0,,Kepler-622
,0.0334052,0,,Kepler-621
,0.11286,0,,Kepler-620
