MSINI,A,ECC,K,STAR
mjupiter,au,,m/s,
,0.646795,0.0069,,Kepler-16
,0.48075,0,,Kepler-1599
,0.0532751,0,,Kepler-1598
,0.0433296,0,,Kepler-1597
,0.315387,0,,Kepler-1596
,0.0508063,0,,Kepler-1595
,0.0388448,0,,Kepler-1594
,0.569703,0,,Kepler-1593
,0.0435619,0,,Kepler-1592
,0.0820512,0,,Kepler-1591
,0.0784501,0,,Kepler-1590
,0.242421,,,Kepler-159
,0.0916828,,,Kepler-159
,0.0205657,0,,Kepler-1589
,0.0762521,0,,Kepler-1588
,0.0894717,0,,Kepler-1587
,0.138326,0,,Kepler-1586
,0.0448876,0,,Kepler-1585
,0.113973,0,,Kepler-1584
,0.0849527,0,,Kepler-1583
,0.0366252,0,,Kepler-1582
,0.0692091,0,,Kepler-1581
,0.328211,0,,Kepler-1580
,0.18282,,,Kepler-158
,0.127912,,,Kepler-158
,0.0159542,0,,Kepler-1579
,0.0242164,0,,Kepler-1578
,0.0614878,0,,Kepler-1577
,0.0726835,0,,Kepler-1576
,0.0359389,0,,Kepler-1575
,0.0726189,0,,Kepler-1574
,0.0372774,0,,Kepler-1573
,0.0603302,0,,Kepler-1572
,0.0472783,0,,Kepler-1571
,0.169395,0,,Kepler-1570
,0.111181,,,Kepler-157
,0.028229,,,Kepler-157
,0,0,,Kepler-157
,0.0679911,0,,Kepler-1569
,0.152944,0,,Kepler-1568
,0.5527,0,,Kepler-1567
,0.0122438,0,,Kepler-1566
,0.0237986,0,,Kepler-1565
,0.131467,0,,Kepler-1564
,0.0445351,0,,Kepler-1563
,0.316103,0,,Kepler-1562
,0.0200865,0,,Kepler-1561
,0.0412688,0,,Kepler-1560
,0.123783,,,Kepler-156
,0.0570224,,,Kepler-156
,0.018261,0,,Kepler-1559
,0.0424359,0,,Kepler-1558
,0.0488263,0,,Kepler-1557
,0.0827454,0,,Kepler-1556
,0.0800056,0,,Kepler-1555
,0.627489,0,,Kepler-1554
,0.048585,0,,Kepler-1553
,0.601409,0,,Kepler-1552
,0.172447,0,,Kepler-1551
,0.741774,0,,Kepler-1550
,0.27496,,,Kepler-155
,0.0641261,,,Kepler-155
,0.672832,0,,Kepler-1549
,0.487186,0,,Kepler-1548
,0.0159157,0,,Kepler-1547
,0.139845,0,,Kepler-1546
,0.552567,0,,Kepler-1545
,0.557231,0,,Kepler-1544
,0.0796733,0,,Kepler-1543
,0.0632508,0,,Kepler-1542
,0.0568105,0,,Kepler-1542
,0.0479144,0,,Kepler-1542
,0.0389169,0,,Kepler-1542
,0.0769479,0,,Kepler-1541
,0.443519,0,,Kepler-1540
,0.307572,,,Kepler-154
,0.201514,,,Kepler-154
,0.141235,0,,Kepler-154
,0.0869078,0,,Kepler-154
,0.0469031,0,,Kepler-154
,0.481868,0,,Kepler-1539
,0.618691,0,,Kepler-1538
,0.0233115,0,,Kepler-1537
,0.891311,0,,Kepler-1536
,0.538652,0,,Kepler-1535
,0.0604111,0,,Kepler-1534
,0.977788,0,,Kepler-1533
,0.0201315,0,,Kepler-1532
,0.0224212,0,,Kepler-1531
,0.0580264,0,,Kepler-1530
,0.035902,0,,Kepler-1530
,0.254528,,,Kepler-153
,0.138715,,,Kepler-153
,0.0557286,0,,Kepler-1529
,0.0291497,0,,Kepler-1528
,0.614964,0,,Kepler-1527
,0.0437251,0,,Kepler-1526
,0.0360472,0,,Kepler-1525
,0.353488,0,,Kepler-1524
,0.0185737,0,,Kepler-1523
,0.0290724,0,,Kepler-1522
,0.238093,0,,Kepler-1521
,0.0134503,0,,Kepler-1520
,0.387942,,,Kepler-152
,0.135451,,,Kepler-152
,0.742026,0,,Kepler-1519
,0.0670648,0,,Kepler-1518
,0.0714194,0,,Kepler-1517
,0.0743387,0,,Kepler-1516
,0.764923,0,,Kepler-1515
,0.755004,0,,Kepler-1514
,0.576981,0,,Kepler-1513
,0.13139,0,,Kepler-1512
,0.167934,0,,Kepler-1511
,0.399998,0,,Kepler-1510
,0.165872,,,Kepler-151
,0.120241,,,Kepler-151
,0.169257,0,,Kepler-1509
,0.154158,0,,Kepler-1508
,0.119784,0,,Kepler-1507
,0.11193,0,,Kepler-1506
,0.187949,0,,Kepler-1505
,0.350774,0,,Kepler-1504
,0.376527,0,,Kepler-1503
,0.265793,0,,Kepler-1502
,0.123985,0,,Kepler-1501
,0.119208,0,,Kepler-1500
,0.192408,,,Kepler-150
,0.105752,,,Kepler-150
,0.0741975,,,Kepler-150
,0.0444944,,,Kepler-150
0.66177,0.0571382,0.133933,78.7,Kepler-15
,0.228998,0,,Kepler-1499
,0.245986,0,,Kepler-1498
,0.0819289,0,,Kepler-1497
,0.33316,0,,Kepler-1496
,0.382908,0,,Kepler-1495
,0.390823,0,,Kepler-1494
,0.121485,0,,Kepler-1493
,0.117442,0,,Kepler-1492
,0.127283,0,,Kepler-1491
,0.386292,0,,Kepler-1490
,0.576836,,,Kepler-149
,0.284166,,,Kepler-149
,0.185574,,,Kepler-149
,0.361423,0,,Kepler-1489
,0.231951,0,,Kepler-1488
,0.0821396,0,,Kepler-1487
,0.28916,0,,Kepler-1486
,0.148883,0,,Kepler-1485
,0.186962,0,,Kepler-1484
,0.0946205,0,,Kepler-1483
,0.0996817,0,,Kepler-1482
,0.0596031,0,,Kepler-1481
,0.146114,0,,Kepler-1480
,0.050784,,,Kepler-148
,0.0281967,,,Kepler-148
,0,0,,Kepler-148
,0.116158,0,,Kepler-1479
,0.174395,0,,Kepler-1478
,0.0932443,0,,Kepler-1477
,0.0923741,0,,Kepler-1476
,0.390903,0,,Kepler-1475
,0.217913,0,,Kepler-1474
,0.119364,0,,Kepler-1473
,0.232959,0,,Kepler-1472
,0.0455165,0,,Kepler-1471
,0.116773,0,,Kepler-1470
,0.203039,,,Kepler-147
,0.10603,,,Kepler-147
,0.148827,0,,Kepler-1469
,0.0808904,0,,Kepler-1468
,0.046104,0,,Kepler-1468
,0.24258,0,,Kepler-1467
,0.194499,0,,Kepler-1466
,0.178579,0,,Kepler-1465
,0.19765,0,,Kepler-1464
,0.0600955,0,,Kepler-1464
,0.165763,0,,Kepler-1463
,0.318487,0,,Kepler-1462
,0.17214,0,,Kepler-1461
,0.167635,0,,Kepler-1460
,0.353393,,,Kepler-146
,0.193788,,,Kepler-146
,0.284837,0,,Kepler-1459
,0.254946,0,,Kepler-1458
,0.270431,0,,Kepler-1457
,0.116426,0,,Kepler-1456
,0.224301,0,,Kepler-1455
,0.246197,0,,Kepler-1454
,0.252883,0,,Kepler-1453
,0.268995,0,,Kepler-1452
,0.211879,0,,Kepler-1451
,0.251,0,,Kepler-1450
,0.112305,0,,Kepler-1449
,0.102351,0,,Kepler-1448
,0.28584,0,,Kepler-1447
,0.0142447,0,,Kepler-1446
,0.0983673,0,,Kepler-1445
,0.205066,0,,Kepler-1444
,0.0373628,0,,Kepler-1443
,0.405305,0,,Kepler-1442
,0.226767,0,,Kepler-1441
,0.226831,0,,Kepler-1440
,0.0914719,,,Kepler-144
,0.0637947,,,Kepler-144
,0.0608017,0,,Kepler-1439
,0.0339456,0,,Kepler-1438
,0.0940811,0,,Kepler-1437
,0.0907946,0,,Kepler-1436
,0.0564501,0,,Kepler-1435
,0.0894052,0,,Kepler-1434
,0.0526772,0,,Kepler-1433
,0.167165,0,,Kepler-1432
,0.0642857,0,,Kepler-1431
,0.0326929,0,,Kepler-1430
,0.176495,,,Kepler-143
,0.124306,,,Kepler-143
,0.0540966,0,,Kepler-1429
,0.103027,0,,Kepler-1428
,0.0192274,0,,Kepler-1427
,0.115827,0,,Kepler-1426
,0.114954,0,,Kepler-1425
,0.188549,0,,Kepler-1424
,0.150343,0,,Kepler-1423
,0.143967,0,,Kepler-1422
,0.0765054,0,,Kepler-1421
,0.0650994,0,,Kepler-1420
,0.235751,,,Kepler-142
,0.0553921,,,Kepler-142
,0.0313162,,,Kepler-142
,0.239214,0,,Kepler-1419
,0.142864,0,,Kepler-1418
,0.146844,0,,Kepler-1417
,0.0263353,0,,Kepler-1416
,0.0139284,0,,Kepler-1415
,0.0420065,0,,Kepler-1414
,0.103048,0,,Kepler-1413
,0.0469983,0,,Kepler-1412
,0.375175,0,,Kepler-1411
,0.2596,0,,Kepler-1410
,0.0716875,,,Kepler-141
,0.041677,,,Kepler-141
,0.0153823,0,,Kepler-1409
,0.0433594,0,,Kepler-1408
,0.149206,0,,Kepler-1407
,0.102102,0,,Kepler-1406
,0.18441,0,,Kepler-1405
,0.116915,0,,Kepler-1404
,0.0607809,0,,Kepler-1403
,0.0303322,0,,Kepler-1402
,0.100207,0,,Kepler-1401
,0.0799721,0,,Kepler-1400
,0.396968,,,Kepler-140
,0.0429776,,,Kepler-140
8.40643,0.0806879,0.0350051,682.9,Kepler-14
,0.026927,0,,Kepler-1399
,0.0525427,0,,Kepler-1398
,0.040381,0,,Kepler-1398
,0.263981,0,,Kepler-1397
,0.1432,0,,Kepler-1396
,0.050083,0,,Kepler-1395
,0.0575502,0,,Kepler-1394
,0.0349032,0,,Kepler-1393
,0.114781,0,,Kepler-1392
,0.283792,0,,Kepler-1391
,0.0675681,0,,Kepler-1390
,0.569736,,,Kepler-139
,0.123078,,,Kepler-139
,0.391079,0,,Kepler-1389
,0.188407,0,,Kepler-1388
,0.127527,0,,Kepler-1388
,0.0893266,0,,Kepler-1388
,0.0525035,0,,Kepler-1388
,0.0317279,0,,Kepler-1387
,0.0702913,0,,Kepler-1386
,0.0415895,0,,Kepler-1385
,0.111331,0,,Kepler-1384
,0.122255,0,,Kepler-1383
,0.139726,0,,Kepler-1382
,0.166753,0,,Kepler-1381
,0.0914589,0,,Kepler-1380
,0.074609,,,Kepler-138
,0.0169132,0,,Kepler-1379
,0.0908478,0,,Kepler-1378
,0.015239,0,,Kepler-1377
,0.059158,0,,Kepler-1376
,0.0493278,0,,Kepler-1375
,0.0897541,0,,Kepler-1374
,0.0247968,0,,Kepler-1373
,0.023292,0,,Kepler-1372
,0.0426259,0,,Kepler-1371
,0.0297109,0,,Kepler-1371
,0.154149,0,,Kepler-1370
,0.0790483,0,,Kepler-1370
,0.138056,,,Kepler-137
,0.0811044,,,Kepler-137
,0.170628,0,,Kepler-1369
,0.0154128,0,,Kepler-1368
,0.0225817,0,,Kepler-1367
,0.0279245,0,,Kepler-1366
,0.0763129,0,,Kepler-1365
,0.0554927,0,,Kepler-1365
,0.125617,0,,Kepler-1364
,0.0366691,0,,Kepler-1363
,0.48095,0,,Kepler-1362
,0.0430059,0,,Kepler-1361
,0.264915,0,,Kepler-1360
,0.126325,,,Kepler-136
,0.100165,,,Kepler-136
,0.274559,0,,Kepler-1359
,0.0674338,0,,Kepler-1358
,0.0398164,0,,Kepler-1357
,0.0135188,0,,Kepler-1356
,0.0222195,0,,Kepler-1355
,0.370933,0,,Kepler-1354
,0.151698,0,,Kepler-1353
,0.0308432,0,,Kepler-1352
,0.0163913,0,,Kepler-1351
,0.0436851,0,,Kepler-1350
,0.0234342,0,,Kepler-1350
,0.0994132,,,Kepler-135
,0.0646392,,,Kepler-135
,0.034023,0,,Kepler-1349
,0.180967,0,,Kepler-1348
,0.106453,0,,Kepler-1347
,0.0462418,0,,Kepler-1346
,0.270063,0,,Kepler-1345
,0.0570591,0,,Kepler-1344
,0.0430893,0,,Kepler-1343
,0.032467,0,,Kepler-1342
,0.471386,0,,Kepler-1341
,0.0161473,0,,Kepler-1340
,0.0914787,,,Kepler-134
,0.0596222,,,Kepler-134
,0.0233196,0,,Kepler-1339
,0.018961,0,,Kepler-1338
,0.146185,0,,Kepler-1337
,0.15594,0,,Kepler-1336
,0.061725,0,,Kepler-1336
,0.0609548,0,,Kepler-1335
,0.119927,0,,Kepler-1334
,0.439185,0,,Kepler-1333
,0.100137,0,,Kepler-1332
,0.0149794,0,,Kepler-1331
,0.090566,0,,Kepler-1330
,0.195273,,,Kepler-133
,0.0791285,,,Kepler-133
,0.0777748,0,,Kepler-1329
,0.053514,0,,Kepler-1328
,0.119224,0,,Kepler-1327
,0.269138,0,,Kepler-1326
,0.20001,0,,Kepler-1325
,0.0462676,0,,Kepler-1324
,0.0197027,0,,Kepler-1323
,0.0184246,0,,Kepler-1322
,0.0794372,0,,Kepler-1321
,0.0271739,0,,Kepler-1321
,0.0165366,0,,Kepler-1320
,0.134468,,,Kepler-132
,0.0675669,,,Kepler-132
,0.0658943,,,Kepler-132
,0,0,,Kepler-132
,0.0327047,0,,Kepler-1319
,0.629,0,,Kepler-1318
,0.0126273,0,,Kepler-1317
,0.392209,0,,Kepler-1316
,0.0162176,0,,Kepler-1315
,0.0509616,0,,Kepler-1314
,0.0466196,0,,Kepler-1313
,0.060394,0,,Kepler-1312
,0.0994127,0,,Kepler-1311
,0.036989,0,,Kepler-1311
,0.0146558,0,,Kepler-1310
0.0525494,0.170752,0,3.58,Kepler-131
0.0497212,0.12557,0,3.95,Kepler-131
,0.174358,0,,Kepler-1309
,0.0226485,0,,Kepler-1308
,0.137136,0,,Kepler-1307
,0.12495,0,,Kepler-1306
,0.11018,0,,Kepler-1305
,0.118345,0,,Kepler-1304
,0.0756444,0,,Kepler-1303
,0.0795638,0,,Kepler-1302
,0.080701,0,,Kepler-1301
,0.168494,0,,Kepler-1300
,0.385778,,,Kepler-130
,0.0812393,,,Kepler-130
,0.140972,0,,Kepler-1299
,0.0820438,0,,Kepler-1298
,0.0275857,0,,Kepler-1297
,0.0771045,0,,Kepler-1296
,0.0464624,0,,Kepler-1295
,0.463098,0,,Kepler-1294
,0.0650345,0,,Kepler-1293
,0.0424409,0,,Kepler-1292
,0.0776941,0,,Kepler-1291
,0.0539434,0,,Kepler-1290
,0.369989,,,Kepler-129
,0.123186,,,Kepler-129
,0.0807438,0,,Kepler-1289
,0.0409325,0,,Kepler-1288
,0.0982303,0,,Kepler-1287
,0.098283,0,,Kepler-1286
,0.125346,0,,Kepler-1285
,0.0140554,0,,Kepler-1284
,0.113375,0,,Kepler-1283
,0.0315297,0,,Kepler-1282
,0.0398578,0,,Kepler-1281
,0.34156,0,,Kepler-1280
,0.170989,0,,Kepler-1279
,0.0443634,0,,Kepler-1278
,0.227343,0,,Kepler-1277
,0.110538,0,,Kepler-1276
,0.0497719,0,,Kepler-1275
,0.0809151,0,,Kepler-1274
,0.179399,0,,Kepler-1273
,0.274894,0,,Kepler-1272
,0.0426422,0,,Kepler-1271
,0.0704248,0,,Kepler-1270
,0.260742,,,Kepler-127
,0.186396,,,Kepler-127
,0.11603,,,Kepler-127
,0.225667,0,,Kepler-1269
,0.237227,0,,Kepler-1268
,0.113545,0,,Kepler-1267
,0.169412,0,,Kepler-1266
,0.0607742,0,,Kepler-1265
,0.0190938,0,,Kepler-1264
,0.0507142,0,,Kepler-1263
,0.0823755,0,,Kepler-1262
,0.243384,0,,Kepler-1261
,0.142675,0,,Kepler-1260
,0.422434,,,Kepler-126
,0.153051,,,Kepler-126
,0.0938169,,,Kepler-126
,0.013815,0,,Kepler-1259
,0.0193089,0,,Kepler-1258
,0.0363506,0,,Kepler-1257
,0.110556,0,,Kepler-1256
,0.220101,0,,Kepler-1255
,0.0835695,0,,Kepler-1254
,0.0576676,0,,Kepler-1254
,0.0423228,0,,Kepler-1254
,0.325551,0,,Kepler-1253
,0.121659,0,,Kepler-1252
,0.241134,0,,Kepler-1251
,0.0369521,0,,Kepler-1250
,0.0629914,,,Kepler-125
,0.0506571,,,Kepler-125
,0.174156,0,,Kepler-1249
,0.0796726,0,,Kepler-1248
,0.106621,0,,Kepler-1247
,0.0888549,0,,Kepler-1246
,0.0496255,0,,Kepler-1245
,0.0381652,0,,Kepler-1245
,0.0531529,0,,Kepler-1244
,0.126801,0,,Kepler-1243
,0.102343,0,,Kepler-1242
,0.12941,0,,Kepler-1241
,0.0558238,0,,Kepler-1240
,0.192925,,,Kepler-124
,0.112713,,,Kepler-124
,0.0443423,,,Kepler-124
,0.0656375,0,,Kepler-1239
,0.0551406,0,,Kepler-1238
,0.369378,0,,Kepler-1237
,0.183885,0,,Kepler-1236
,0.0494161,0,,Kepler-1235
,0.0949095,0,,Kepler-1234
,0.260643,0,,Kepler-1233
,0.170393,0,,Kepler-1232
,0.0936589,0,,Kepler-1231
,0.0923527,0,,Kepler-1230
,0.174808,,,Kepler-123
,0.130568,,,Kepler-123
,0.312498,0,,Kepler-1229
,0.0124913,0,,Kepler-1228
,0.401332,0,,Kepler-1227
,0.131737,0,,Kepler-1226
,0.0746694,0,,Kepler-1225
,0.116229,0,,Kepler-1224
,0.116802,0,,Kepler-1223
,0.0284953,0,,Kepler-1222
,0.0979318,0,,Kepler-1221
,0.0744983,0,,Kepler-1220
,0.221179,,,Kepler-122
,0.151731,,,Kepler-122
,0.105218,,,Kepler-122
,0.0629312,,,Kepler-122
,0.134445,0,,Kepler-1219
,0.161019,0,,Kepler-1218
,0.0320163,0,,Kepler-1217
,0.0521389,0,,Kepler-1216
,0.0544938,0,,Kepler-1215
,0.131197,0,,Kepler-1214
,0.0625366,0,,Kepler-1213
,0.111358,0,,Kepler-1212
,0.0955953,0,,Kepler-1211
,0.0771394,0,,Kepler-1210
,0.23273,,,Kepler-121
,0.0422983,,,Kepler-121
,0.181042,0,,Kepler-1209
,0.0903224,0,,Kepler-1208
,0.114152,0,,Kepler-1207
,0.0207092,0,,Kepler-1206
,0.0194186,0,,Kepler-1205
,0.384289,0,,Kepler-1204
,0.0118373,0,,Kepler-1203
,0.185207,0,,Kepler-1202
,0.125745,0,,Kepler-1201
,0.0190745,0,,Kepler-1200
,0.107059,,,Kepler-120
,0.0668458,,,Kepler-120
0.431855,0.0556348,0,48.2,Kepler-12
,0.116835,0,,Kepler-1199
,0.0743912,0,,Kepler-1198
,0.0289045,0,,Kepler-1197
,0.318069,0,,Kepler-1196
,0.0737068,0,,Kepler-1195
,0.122862,0,,Kepler-1194
,0.0401985,0,,Kepler-1193
,0.159985,0,,Kepler-1192
,0.0584627,0,,Kepler-1191
,0.0854126,0,,Kepler-1190
,0.050338,,,Kepler-119
,0.0352966,,,Kepler-119
,0.0492454,0,,Kepler-1189
,0.131797,0,,Kepler-1188
,0.141438,0,,Kepler-1187
,0.12255,0,,Kepler-1186
,0.427921,0,,Kepler-1185
,0.282775,0,,Kepler-1184
,0.182625,0,,Kepler-1183
,0.0991034,0,,Kepler-1182
,0.0594394,0,,Kepler-1181
,0.132431,0,,Kepler-1180
,0.145024,,,Kepler-118
,0.0751093,,,Kepler-118
,0.0356726,0,,Kepler-1179
,0.182381,0,,Kepler-1178
,0.436075,0,,Kepler-1177
,0.164164,0,,Kepler-1176
,0.213368,0,,Kepler-1175
,0.0718111,0,,Kepler-1174
,0.0156331,0,,Kepler-1173
,0.167139,0,,Kepler-1172
,0.0291019,0,,Kepler-1171
,0.0842697,0,,Kepler-1170
,0.268407,,,Kepler-117
,0.138351,,,Kepler-117
,0.0702714,0,,Kepler-1169
,0.272889,0,,Kepler-1168
,0.0181392,0,,Kepler-1167
,0.195344,0,,Kepler-1166
,0.0912977,0,,Kepler-1165
,0.0465276,0,,Kepler-1164
,0.0699509,0,,Kepler-1163
,0.191967,0,,Kepler-1162
,0.0797661,0,,Kepler-1161
,0.0759488,0,,Kepler-1160
,0.108599,,,Kepler-116
,0.0643964,,,Kepler-116
,0.166307,0,,Kepler-1159
,0.124667,0,,Kepler-1158
,0.0483728,0,,Kepler-1157
,0.101981,0,,Kepler-1156
,0.205268,0,,Kepler-1155
,0.0877495,0,,Kepler-1154
,0.0633282,0,,Kepler-1154
,0.0276021,0,,Kepler-1153
,0.0223609,0,,Kepler-1152
,0.305198,0,,Kepler-1151
,0.0353774,0,,Kepler-1150
,0.0846204,,,Kepler-115
,0.0351175,,,Kepler-115
,0.0473895,0,,Kepler-1149
,0.0194926,0,,Kepler-1148
,0.0973596,0,,Kepler-1147
,0.0313094,0,,Kepler-1146
,0.0453661,0,,Kepler-1145
,0.12926,0,,Kepler-1144
,0.645826,0,,Kepler-1143
,0.0370047,0,,Kepler-1143
,0.134547,0,,Kepler-1142
,0.0346536,0,,Kepler-1141
,0.148956,0,,Kepler-1140
,0.0586548,,,Kepler-114
,0.016702,0,,Kepler-1139
,0.0415217,0,,Kepler-1138
,0.185991,0,,Kepler-1137
,0.0311079,0,,Kepler-1136
,0.3493,0,,Kepler-1135
,0.12272,0,,Kepler-1134
,0.0976404,0,,Kepler-1133
,0.295466,0,,Kepler-1132
,0.0458416,0,,Kepler-1131
,0.0585387,0,,Kepler-1130
,0.0502736,0,5.4,Kepler-113
,0.352794,0,,Kepler-1129
,0.164368,0,,Kepler-1129
,0.29908,0,,Kepler-1128
,0.0575745,0,,Kepler-1127
,0.433249,0,,Kepler-1126
,0.130519,0,,Kepler-1125
,0.0277394,0,,Kepler-1124
,0.0508228,0,,Kepler-1123
,0.230686,0,,Kepler-1122
,0.1187,0,,Kepler-1121
,0.0370474,0,,Kepler-1120
,0.182918,,,Kepler-112
,0.080928,,,Kepler-112
,0.0832447,0,,Kepler-1119
,0.220779,0,,Kepler-1118
,0.0546708,0,,Kepler-1117
,0.231343,0,,Kepler-1116
,0.188086,0,,Kepler-1115
,0.113504,0,,Kepler-1114
,0.246742,0,,Kepler-1113
,0.127487,0,,Kepler-1112
,0.0860862,0,,Kepler-1111
,0.0801106,0,,Kepler-1110
,0.723521,,,Kepler-111
,0.043745,,,Kepler-111
,0.223437,0,,Kepler-1109
,0.0511944,0,,Kepler-1108
,0.01281,0,,Kepler-1107
,0.0235482,0,,Kepler-1106
,0.0470338,0,,Kepler-1105
,0.0627651,0,,Kepler-1104
,0.148265,0,,Kepler-1103
,0.266647,0,,Kepler-1102
,0.359829,0,,Kepler-1101
,0.0720524,0,,Kepler-1100
,0.196107,,,Kepler-110
,0.106481,,,Kepler-110
0.0191935,0.154764,0.0036055,1.426,Kepler-11
,0.465624,0,,Kepler-11
,0.250413,0.013,,Kepler-11
,0.19466,0.012,,Kepler-11
,0.106909,0.026,,Kepler-11
,0.0914497,0.045,,Kepler-11
,0.0328963,0,,Kepler-1099
,0.0363405,0,,Kepler-1098
,0.600611,0,,Kepler-1097
,0.0345893,0,,Kepler-1096
,0.0504666,0,,Kepler-1095
,0.373544,0,,Kepler-1094
,0.408538,0,,Kepler-1093
,0.174668,0,,Kepler-1093
,0.294279,0,,Kepler-1092
,0.0249783,0,,Kepler-1091
,0.633688,0,,Kepler-1090
,0.151991,0,0.43,Kepler-109
,0.0689299,0,0.29,Kepler-109
,0.0468266,0,,Kepler-1089
,0.162992,0,,Kepler-1088
,0.0151311,0,,Kepler-1087
,0.515367,0,,Kepler-1086
,0.122792,0,,Kepler-1086
,0.736945,0,,Kepler-1085
,0.0328337,0,,Kepler-1084
,0.189272,0,,Kepler-1083
,0.0263938,0,,Kepler-1082
,0.0461241,0,,Kepler-1081
,0.366455,0,,Kepler-1080
,0.647542,,,Kepler-108
,0.262717,,,Kepler-108
,0.112404,0,,Kepler-1079
,0.0399419,0,,Kepler-1078
,0.208178,0,,Kepler-1077
,0.0607115,0,,Kepler-1076
,0.0213603,0,,Kepler-1075
,0.054174,0,,Kepler-1074
,0.0826512,0,,Kepler-1073
,0.0495271,0,,Kepler-1073
,0.028082,0,,Kepler-1072
,0.0626755,0,,Kepler-1071
,0.0705457,0,,Kepler-1070
,0.117702,,,Kepler-107
,0.0780099,,,Kepler-107
,0.0564705,,,Kepler-107
,0.0423212,,,Kepler-107
,0.161835,0,,Kepler-1069
,0.129431,0,,Kepler-1068
,0.0160522,0,,Kepler-1067
,0.03015,0,,Kepler-1066
,0.0451092,0,,Kepler-1065
,0.0340815,0,,Kepler-1065
,0.120351,0,,Kepler-1064
,0.117439,0,,Kepler-1063
,0.0786582,0,,Kepler-1062
,0.0396104,0,,Kepler-1061
,0.253589,0,,Kepler-1060
,0.243344,0,1.95,Kepler-106
,0.111348,0,2.71,Kepler-106
,0.0657994,0,0.05,Kepler-106
,0.043027,0,,Kepler-1059
,0.406917,0,,Kepler-1058
,0.116763,0,,Kepler-1057
,0.185149,0,,Kepler-1056
,0.0338227,0,,Kepler-1055
,0.0553537,0,,Kepler-1054
,0.0318579,0,,Kepler-1053
,0.210888,0,,Kepler-1052
,0.19332,0,,Kepler-1051
,0.153931,0,,Kepler-1050
,0.124555,0,,Kepler-1050
,0.0724716,,,Kepler-105
,0.0344721,0,,Kepler-1049
,0.0645763,0,,Kepler-1048
,0.294564,0,,Kepler-1047
,0.0435026,0,,Kepler-1047
,0.117226,0,,Kepler-1046
,0.165053,0,,Kepler-1045
,0.0718867,0,,Kepler-1044
,0.217045,0,,Kepler-1043
,0.0832577,0,,Kepler-1042
,0.169505,0,,Kepler-1041
,0.667299,0,,Kepler-1040
,0.271796,,,Kepler-104
,0.161331,,,Kepler-104
,0.0172977,0,,Kepler-1039
,0.523825,0,,Kepler-1038
,0.0190889,0,,Kepler-1037
,0.475522,0,,Kepler-1036
,0.0378236,0,,Kepler-1035
,0.0970652,0,,Kepler-1034
,0.07385,0,,Kepler-1033
,0.0396806,0,,Kepler-1032
,0.0230742,0,,Kepler-1031
,0.130853,0,,Kepler-1030
0.030444,0.127704,0,2.32,Kepler-103
,0.64119,0,3.85,Kepler-103
,0.0493183,0,,Kepler-1029
,0.0349411,0,,Kepler-1028
,0.0291727,0,,Kepler-1027
,0.199129,0,,Kepler-1026
,0.22494,0,,Kepler-1025
,0.299193,0,,Kepler-1024
,0.299693,0,,Kepler-1023
,0.0863273,0,,Kepler-1022
,0.106598,0,,Kepler-1021
,0.394192,0,,Kepler-1020
0.0296868,0.116059,0,2.77,Kepler-102
0.0269906,0.165339,0,2.11,Kepler-102
0.0126441,0.0860714,0,1.37,Kepler-102
0,0.0551367,0,0,Kepler-102
,0.0218627,0,,Kepler-1019
,0.254302,0,,Kepler-1018
,0.0714529,0,,Kepler-1017
,0.435925,0,,Kepler-1016
,0.0304915,0,,Kepler-1016
,0.141962,0,,Kepler-1015
,0.121899,0,,Kepler-1014
,0.129582,0,,Kepler-1013
,0.0600079,0,,Kepler-1012
,0.0608921,0,,Kepler-1011
,0.196353,0,,Kepler-1010
,0.0648349,,,Kepler-101
,0.0450089,,,Kepler-101
,0.0829006,0,,Kepler-1009
,0.0979413,0,,Kepler-1008
,0.0527894,0,,Kepler-1007
,0.13168,0,,Kepler-1006
,0.0681491,0,,Kepler-1005
,0.0615039,0,,Kepler-1004
,0.0471986,0,,Kepler-1003
,0.0556094,0,,Kepler-1002
,0.111348,0,,Kepler-1001
,0.532697,0,,Kepler-1000
0,0.109963,0,0,Kepler-100
0.0531039,0.239656,,3.26,Kepler-10
0.0142142,0.0167573,0,3.3,Kepler-10
,0.441345,0,,KOI-4427
,0.0342279,0,,KOI-13
,0.996347,,,KIC 11442793
,0.736177,,,KIC 11442793
,0.519687,,,KIC 11442793
,0.423643,,,KIC 11442793
,0.307074,,,KIC 11442793
,0.088103,,,KIC 11442793
,0.0761616,,,KIC 11442793
1.26419,0.0441609,0,138,KELT-7
0.431127,0.0794132,0.22,42.8,KELT-6
1.454,0.0412729,0,179.6,KELT-3
1.52019,0.0549707,0,161.1,KELT-2 A
,0.207594,,,K2-3
,0.139869,,,K2-3
,0.0769351,,,K2-3
,0.0299103,0.27,,K2-25
,0.00867627,,,K2-22
,0.104852,,,K2-21
,0.0747146,,,K2-21
,67.4293,0,,HR 8799
,42.4842,0,,HR 8799
,26.7553,0.1,,HR 8799
,14.5253,0,,HR 8799
19.8471,2.5395,0.61,320.1,HIP 97233
1.068,0.0566534,0.024,130.9,HIP 91258
2.11299,0.358346,0.29,149.5,HIP 79431
1.41789,0.458562,0.09,46.8,HIP 67851
0.528573,1.00678,0.27,18.2,HIP 57274
0.410096,0.177758,0.05,32.4,HIP 57274
0.0365708,0.0712798,0.187,4.64,HIP 57274
